Date;Debit Montjean;null
01/01/2014 00:00:00;2085;
01/01/2014 01:00:00;2081;
01/01/2014 02:00:00;2078;
01/01/2014 03:00:00;2076;
01/01/2014 04:00:00;2071;
01/01/2014 05:00:00;2067;
01/01/2014 06:00:00;2061;
01/01/2014 07:00:00;2058;
01/01/2014 08:00:00;2055;
01/01/2014 09:00:00;2051;
01/01/2014 10:00:00;2046;
01/01/2014 11:00:00;2045;
01/01/2014 12:00:00;2043;
01/01/2014 13:00:00;2036;
01/01/2014 14:00:00;2032;
01/01/2014 15:00:00;2029;
01/01/2014 16:00:00;2023;
01/01/2014 17:00:00;2018;
01/01/2014 18:00:00;2014;
01/01/2014 19:00:00;2012;
01/01/2014 20:00:00;2009;
01/01/2014 21:00:00;2004;
01/01/2014 22:00:00;2006;
01/01/2014 23:00:00;2004;
02/01/2014 00:00:00;2002;
02/01/2014 01:00:00;2004;
02/01/2014 02:00:00;2004;
02/01/2014 03:00:00;2007;
02/01/2014 04:00:00;2007;
02/01/2014 05:00:00;2009;
02/01/2014 06:00:00;2010;
02/01/2014 07:00:00;2010;
02/01/2014 08:00:00;2011;
02/01/2014 09:00:00;2014;
02/01/2014 10:00:00;2015;
02/01/2014 11:00:00;2018;
02/01/2014 12:00:00;2018;
02/01/2014 13:00:00;2019;
02/01/2014 14:00:00;2021;
02/01/2014 15:00:00;2021;
02/01/2014 16:00:00;2021;
02/01/2014 17:00:00;2022;
02/01/2014 18:00:00;2023;
02/01/2014 19:00:00;2022;
02/01/2014 20:00:00;2024;
02/01/2014 21:00:00;2018;
02/01/2014 22:00:00;2021;
02/01/2014 23:00:00;2020;
03/01/2014 00:00:00;2017;
03/01/2014 01:00:00;2018;
03/01/2014 02:00:00;2019;
03/01/2014 03:00:00;2020;
03/01/2014 04:00:00;2021;
03/01/2014 05:00:00;2022;
03/01/2014 06:00:00;2021;
03/01/2014 07:00:00;2027;
03/01/2014 08:00:00;2027;
03/01/2014 09:00:00;2028;
03/01/2014 10:00:00;2030;
03/01/2014 11:00:00;2032;
03/01/2014 12:00:00;2032;
03/01/2014 13:00:00;2035;
03/01/2014 14:00:00;2038;
03/01/2014 15:00:00;2041;
03/01/2014 16:00:00;2037;
03/01/2014 17:00:00;2045;
03/01/2014 18:00:00;2051;
03/01/2014 19:00:00;2055;
03/01/2014 20:00:00;2059;
03/01/2014 21:00:00;2065;
03/01/2014 22:00:00;2070;
03/01/2014 23:00:00;2074;
04/01/2014 00:00:00;2080;
04/01/2014 01:00:00;2086;
04/01/2014 02:00:00;2091;
04/01/2014 03:00:00;2095;
04/01/2014 04:00:00;2100;
04/01/2014 05:00:00;2102;
04/01/2014 06:00:00;2108;
04/01/2014 07:00:00;2112;
04/01/2014 08:00:00;2116;
04/01/2014 09:00:00;2117;
04/01/2014 10:00:00;2122;
04/01/2014 11:00:00;2124;
04/01/2014 12:00:00;2125;
04/01/2014 13:00:00;2127;
04/01/2014 14:00:00;2128;
04/01/2014 15:00:00;2125;
04/01/2014 16:00:00;2123;
04/01/2014 17:00:00;2120;
04/01/2014 18:00:00;2120;
04/01/2014 19:00:00;2120;
04/01/2014 20:00:00;2116;
04/01/2014 21:00:00;2115;
04/01/2014 22:00:00;2113;
04/01/2014 23:00:00;2110;
05/01/2014 00:00:00;2110;
05/01/2014 01:00:00;2108;
05/01/2014 02:00:00;2102;
05/01/2014 03:00:00;2100;
05/01/2014 04:00:00;2097;
05/01/2014 05:00:00;2094;
05/01/2014 06:00:00;2089;
05/01/2014 07:00:00;2085;
05/01/2014 08:00:00;2079;
05/01/2014 09:00:00;2074;
05/01/2014 10:00:00;2071;
05/01/2014 11:00:00;2066;
05/01/2014 12:00:00;2063;
05/01/2014 13:00:00;2059;
05/01/2014 14:00:00;2055;
05/01/2014 15:00:00;2050;
05/01/2014 16:00:00;2044;
05/01/2014 17:00:00;2040;
05/01/2014 18:00:00;2032;
05/01/2014 19:00:00;2027;
05/01/2014 20:00:00;2020;
05/01/2014 21:00:00;2016;
05/01/2014 22:00:00;2013;
05/01/2014 23:00:00;2010;
06/01/2014 00:00:00;2003;
06/01/2014 01:00:00;1998;
06/01/2014 02:00:00;1993;
06/01/2014 03:00:00;1987;
06/01/2014 04:00:00;1983;
06/01/2014 05:00:00;1979;
06/01/2014 06:00:00;1975;
06/01/2014 07:00:00;1971;
06/01/2014 08:00:00;1969;
06/01/2014 09:00:00;1966;
06/01/2014 10:00:00;1964;
06/01/2014 11:00:00;1964;
06/01/2014 12:00:00;1960;
06/01/2014 13:00:00;1959;
06/01/2014 14:00:00;1957;
06/01/2014 15:00:00;1954;
06/01/2014 16:00:00;1951;
06/01/2014 17:00:00;1952;
06/01/2014 18:00:00;1953;
06/01/2014 19:00:00;1950;
06/01/2014 20:00:00;1949;
06/01/2014 21:00:00;1949;
06/01/2014 22:00:00;1948;
06/01/2014 23:00:00;1948;
07/01/2014 00:00:00;1946;
07/01/2014 01:00:00;1946;
07/01/2014 02:00:00;1946;
07/01/2014 03:00:00;1946;
07/01/2014 04:00:00;1945;
07/01/2014 05:00:00;1944;
07/01/2014 06:00:00;1945;
07/01/2014 07:00:00;1948;
07/01/2014 08:00:00;1947;
07/01/2014 09:00:00;1946;
07/01/2014 10:00:00;1948;
07/01/2014 11:00:00;1947;
07/01/2014 12:00:00;1949;
07/01/2014 13:00:00;1948;
07/01/2014 14:00:00;1947;
07/01/2014 15:00:00;1947;
07/01/2014 16:00:00;1948;
07/01/2014 17:00:00;1947;
07/01/2014 18:00:00;1946;
07/01/2014 19:00:00;1946;
07/01/2014 20:00:00;1946;
07/01/2014 21:00:00;1946;
07/01/2014 22:00:00;1946;
07/01/2014 23:00:00;1946;
08/01/2014 00:00:00;1945;
08/01/2014 01:00:00;1943;
08/01/2014 02:00:00;1943;
08/01/2014 03:00:00;1942;
08/01/2014 04:00:00;1941;
08/01/2014 05:00:00;1938;
08/01/2014 06:00:00;1938;
08/01/2014 07:00:00;1936;
08/01/2014 08:00:00;1933;
08/01/2014 09:00:00;1931;
08/01/2014 10:00:00;1931;
08/01/2014 11:00:00;1931;
08/01/2014 12:00:00;1933;
08/01/2014 13:00:00;1930;
08/01/2014 14:00:00;1928;
08/01/2014 15:00:00;1927;
08/01/2014 16:00:00;1924;
08/01/2014 17:00:00;1921;
08/01/2014 18:00:00;1919;
08/01/2014 19:00:00;1918;
08/01/2014 20:00:00;1916;
08/01/2014 21:00:00;1915;
08/01/2014 22:00:00;1912;
08/01/2014 23:00:00;1910;
