# Station : BREST
# Longitude : -4.49503994
# Latitude : 48.38290024
# Organisme fournisseur de données : Shom, Marine nationale
# Fuseau horaire : UTC
# Référence verticale : zero_hydrographique
# Unité : m
# Source 1 : Données brutes temps réel
# Source 2 : Données brutes temps différé
# Source 3 : Données validées temps différé
# Source 4 : Données horaires validées
# Source 5 : Données horaires brutes
# Source 6 : Pleines et basses mers
# Date;Valeur;Source
01/01/2002 00:00:00;1.65;4
01/01/2002 00:00:00;1.65;3
01/01/2002 00:10:00;1.79;3
01/01/2002 00:20:00;1.97;3
01/01/2002 00:30:00;2.14;3
01/01/2002 00:40:00;2.33;3
01/01/2002 00:50:00;2.54;3
01/01/2002 01:00:00;2.75;4
01/01/2002 01:00:00;2.75;3
01/01/2002 01:10:00;2.97;3
01/01/2002 01:20:00;3.18;3
01/01/2002 01:30:00;3.43;3
01/01/2002 01:40:00;3.66;3
01/01/2002 01:50:00;3.93;3
01/01/2002 02:00:00;4.16;4
01/01/2002 02:00:00;4.16;3
01/01/2002 02:10:00;4.41;3
01/01/2002 02:20:00;4.66;3
01/01/2002 02:30:00;4.9;3
01/01/2002 02:40:00;5.14;3
01/01/2002 02:50:00;5.36;3
01/01/2002 03:00:00;5.58;4
01/01/2002 03:00:00;5.59;3
01/01/2002 03:10:00;5.78;3
01/01/2002 03:20:00;5.98;3
01/01/2002 03:30:00;6.14;3
01/01/2002 03:40:00;6.32;3
01/01/2002 03:50:00;6.46;3
01/01/2002 04:00:00;6.6;4
01/01/2002 04:00:00;6.6;3
01/01/2002 04:10:00;6.72;3
01/01/2002 04:20:00;6.81;3
01/01/2002 04:30:00;6.9;3
01/01/2002 04:40:00;6.96;3
01/01/2002 04:50:00;7;3
01/01/2002 05:00:00;7.02;4
01/01/2002 05:00:00;7.02;3
01/01/2002 05:10:00;7.02;3
01/01/2002 05:20:00;7;3
01/01/2002 05:30:00;6.97;3
01/01/2002 05:40:00;6.89;3
01/01/2002 05:50:00;6.81;3
01/01/2002 06:00:00;6.7;4
01/01/2002 06:00:00;6.7;3
01/01/2002 06:10:00;6.57;3
01/01/2002 06:20:00;6.42;3
01/01/2002 06:30:00;6.26;3
01/01/2002 06:40:00;6.1;3
01/01/2002 06:50:00;5.91;3
01/01/2002 07:00:00;5.72;4
01/01/2002 07:00:00;5.73;3
01/01/2002 07:10:00;5.52;3
01/01/2002 07:20:00;5.32;3
01/01/2002 07:30:00;5.11;3
01/01/2002 07:40:00;4.89;3
01/01/2002 07:50:00;4.68;3
01/01/2002 08:00:00;4.46;4
01/01/2002 08:00:00;4.46;3
01/01/2002 08:10:00;4.24;3
01/01/2002 08:20:00;4.01;3
01/01/2002 08:30:00;3.8;3
01/01/2002 08:40:00;3.58;3
01/01/2002 08:50:00;3.38;3
01/01/2002 09:00:00;3.17;4
01/01/2002 09:00:00;3.16;3
01/01/2002 09:10:00;2.97;3
01/01/2002 09:20:00;2.76;3
01/01/2002 09:30:00;2.58;3
01/01/2002 09:40:00;2.4;3
01/01/2002 09:50:00;2.22;3
01/01/2002 10:00:00;2.05;4
01/01/2002 10:00:00;2.06;3
01/01/2002 10:10:00;1.87;3
01/01/2002 10:20:00;1.74;3
01/01/2002 10:30:00;1.59;3
01/01/2002 10:40:00;1.48;3
01/01/2002 10:50:00;1.36;3
01/01/2002 11:00:00;1.28;4
01/01/2002 11:00:00;1.28;3
01/01/2002 11:10:00;1.22;3
01/01/2002 11:20:00;1.18;3
01/01/2002 11:30:00;1.17;3
01/01/2002 11:40:00;1.16;3
01/01/2002 11:50:00;1.21;3
01/01/2002 12:00:00;1.27;4
01/01/2002 12:00:00;1.26;3
01/01/2002 12:10:00;1.36;3
