Date,Valeur,Source
01/01/2010 00:00:00,3.375,4
01/01/2010 01:00:00,4.768,4
01/01/2010 02:00:00,6.079,4
01/01/2010 03:00:00,7.033,4
01/01/2010 04:00:00,7.433,4
01/01/2010 05:00:00,7.032,4
01/01/2010 06:00:00,5.984,4
01/01/2010 07:00:00,4.674,4
01/01/2010 08:00:00,3.346,4
01/01/2010 09:00:00,2.191,4
01/01/2010 10:00:00,1.458,4
01/01/2010 11:00:00,1.522,4
01/01/2010 12:00:00,2.388,4
01/01/2010 13:00:00,3.726,4
01/01/2010 14:00:00,5.197,4
01/01/2010 15:00:00,6.42,4
01/01/2010 16:00:00,7.137,4
01/01/2010 17:00:00,7.113,4
01/01/2010 18:00:00,6.31,4
01/01/2010 19:00:00,5.101,4
01/01/2010 20:00:00,3.765,4
01/01/2010 21:00:00,2.529,4
01/01/2010 22:00:00,1.58,4
01/01/2010 23:00:00,1.321,4
02/01/2010 00:00:00,2.014,4
02/01/2010 01:00:00,3.343,4
02/01/2010 02:00:00,4.887,4
02/01/2010 03:00:00,6.261,4
02/01/2010 04:00:00,7.199,4
02/01/2010 05:00:00,7.486,4
02/01/2010 06:00:00,6.88,4
02/01/2010 07:00:00,5.695,4
02/01/2010 08:00:00,4.289,4
02/01/2010 09:00:00,2.902,4
02/01/2010 10:00:00,1.728,4
02/01/2010 11:00:00,1.06,4
02/01/2010 12:00:00,1.285,4
02/01/2010 13:00:00,2.344,4
02/01/2010 14:00:00,3.85,4
02/01/2010 15:00:00,5.407,4
02/01/2010 16:00:00,6.605,4
02/01/2010 17:00:00,7.237,4
02/01/2010 18:00:00,7.079,4
02/01/2010 19:00:00,6.135,4
02/01/2010 20:00:00,4.84,4
02/01/2010 21:00:00,3.458,4
02/01/2010 22:00:00,2.21,4
02/01/2010 23:00:00,1.343,4
03/01/2010 00:00:00,1.296,4
03/01/2010 01:00:00,2.194,4
03/01/2010 02:00:00,3.629,4
03/01/2010 03:00:00,5.238,4
03/01/2010 04:00:00,6.62,4
03/01/2010 05:00:00,7.442,4
03/01/2010 06:00:00,7.542,4
03/01/2010 07:00:00,6.804,4
03/01/2010 08:00:00,5.52,4
03/01/2010 09:00:00,4.066,4
03/01/2010 10:00:00,2.732,4
03/01/2010 11:00:00,1.643,4
03/01/2010 12:00:00,1.113,4
03/01/2010 13:00:00,1.508,4
03/01/2010 14:00:00,2.703,4
03/01/2010 15:00:00,4.265,4
03/01/2010 16:00:00,5.756,4
03/01/2010 17:00:00,6.837,4
03/01/2010 18:00:00,7.309,4
03/01/2010 19:00:00,6.945,4
03/01/2010 20:00:00,5.899,4
03/01/2010 21:00:00,4.559,4
03/01/2010 22:00:00,3.214,4
03/01/2010 23:00:00,2.058,4
04/01/2010 00:00:00,1.3,4
04/01/2010 01:00:00,1.409,4
04/01/2010 02:00:00,2.444,4
04/01/2010 03:00:00,3.936,4
04/01/2010 04:00:00,5.467,4
04/01/2010 05:00:00,6.678,4
04/01/2010 06:00:00,7.346,4
04/01/2010 07:00:00,7.254,4
04/01/2010 08:00:00,6.367,4
04/01/2010 09:00:00,5.055,4
04/01/2010 10:00:00,3.646,4
04/01/2010 11:00:00,2.362,4
04/01/2010 12:00:00,1.383,4
04/01/2010 13:00:00,1.034,4
04/01/2010 14:00:00,1.603,4
04/01/2010 15:00:00,2.885,4
04/01/2010 16:00:00,4.43,4
04/01/2010 17:00:00,5.794,4
04/01/2010 18:00:00,6.717,4
04/01/2010 19:00:00,7.031,4
04/01/2010 20:00:00,6.507,4
04/01/2010 21:00:00,5.405,4
04/01/2010 22:00:00,4.147,4
