Date,Valeur,Source
02/01/2020 10:00:00,5.338,4
02/01/2020 11:00:00,4.674,4
02/01/2020 12:00:00,3.999,4
02/01/2020 13:00:00,3.404,4
02/01/2020 14:00:00,2.937,4
02/01/2020 15:00:00,2.759,4
02/01/2020 16:00:00,3.027,4
02/01/2020 17:00:00,3.646,4
02/01/2020 18:00:00,4.385,4
02/01/2020 19:00:00,5.02,4
02/01/2020 20:00:00,5.426,4
02/01/2020 21:00:00,5.54,4
02/01/2020 22:00:00,5.331,4
02/01/2020 23:00:00,4.842,4
03/01/2020 00:00:00,4.236,4
03/01/2020 01:00:00,3.722,4
03/01/2020 02:00:00,3.309,4
03/01/2020 03:00:00,3.034,4
03/01/2020 04:00:00,3.123,4
03/01/2020 05:00:00,3.563,4
03/01/2020 06:00:00,4.195,4
03/01/2020 07:00:00,4.846,4
03/01/2020 08:00:00,5.334,4
03/01/2020 09:00:00,5.556,4
03/01/2020 10:00:00,5.429,4
03/01/2020 11:00:00,5.008,4
03/01/2020 12:00:00,4.444,4
03/01/2020 13:00:00,3.858,4
03/01/2020 14:00:00,3.329,4
03/01/2020 15:00:00,2.884,4
03/01/2020 16:00:00,2.745,4
03/01/2020 17:00:00,3.088,4
03/01/2020 18:00:00,3.64,4
03/01/2020 19:00:00,4.205,4
03/01/2020 20:00:00,4.738,4
03/01/2020 21:00:00,5.046,4
03/01/2020 22:00:00,5.108,4
03/01/2020 23:00:00,4.943,4
04/01/2020 00:00:00,4.548,4
04/01/2020 01:00:00,4.048,4
04/01/2020 02:00:00,3.597,4
04/01/2020 03:00:00,3.233,4
04/01/2020 04:00:00,2.94,4
04/01/2020 05:00:00,2.98,4
04/01/2020 06:00:00,3.426,4
04/01/2020 07:00:00,4.026,4
04/01/2020 08:00:00,4.586,4
04/01/2020 09:00:00,5.027,4
04/01/2020 10:00:00,5.294,4
04/01/2020 11:00:00,5.258,4
04/01/2020 12:00:00,4.878,4
04/01/2020 13:00:00,4.31,4
04/01/2020 14:00:00,3.779,4
04/01/2020 15:00:00,3.338,4
04/01/2020 16:00:00,2.968,4
04/01/2020 17:00:00,2.842,4
04/01/2020 18:00:00,3.088,4
04/01/2020 19:00:00,3.572,4
04/01/2020 20:00:00,4.119,4
04/01/2020 21:00:00,4.632,4
04/01/2020 22:00:00,5.01,4
04/01/2020 23:00:00,5.16,4
05/01/2020 00:00:00,5.015,4
05/01/2020 01:00:00,4.613,4
05/01/2020 02:00:00,4.12,4
05/01/2020 03:00:00,3.641,4
05/01/2020 04:00:00,3.229,4
05/01/2020 05:00:00,2.932,4
05/01/2020 06:00:00,2.962,4
05/01/2020 07:00:00,3.369,4
05/01/2020 08:00:00,3.942,4
05/01/2020 09:00:00,4.524,4
05/01/2020 10:00:00,5.026,4
05/01/2020 11:00:00,5.334,4
05/01/2020 12:00:00,5.333,4
05/01/2020 13:00:00,4.979,4
05/01/2020 14:00:00,4.442,4
05/01/2020 15:00:00,3.911,4
05/01/2020 16:00:00,3.431,4
05/01/2020 17:00:00,3.03,4
05/01/2020 18:00:00,2.837,4
05/01/2020 19:00:00,3.037,4
05/01/2020 20:00:00,3.564,4
05/01/2020 21:00:00,4.166,4
05/01/2020 22:00:00,4.734,4
05/01/2020 23:00:00,5.221,4
06/01/2020 00:00:00,5.467,4
06/01/2020 01:00:00,5.323,4
06/01/2020 02:00:00,4.884,4
06/01/2020 03:00:00,4.374,4
06/01/2020 04:00:00,3.864,4
06/01/2020 05:00:00,3.333,4
06/01/2020 06:00:00,2.951,4
06/01/2020 07:00:00,3.004,4
06/01/2020 08:00:00,3.448,4
06/01/2020 09:00:00,4.017,4
06/01/2020 10:00:00,4.655,4
