# Station : BREST
# Longitude : -4.49503994
# Latitude : 48.38290024
# Organisme fournisseur de données : Shom, Marine nationale
# Fuseau horaire : UTC
# Référence verticale : zero_hydrographique
# Unité : m
# Source 1 : Données brutes temps réel
# Source 2 : Données brutes temps différé
# Source 3 : Données validées temps différé
# Source 4 : Données horaires validées
# Source 5 : Données horaires brutes
# Source 6 : Pleines et basses mers
# Date;Valeur;Source
01/01/1995 00:00:00;3.8;4
01/01/1995 01:00:00;5.23;4
01/01/1995 02:00:00;6.45;4
01/01/1995 03:00:00;7.22;4
01/01/1995 04:00:00;7.23;4
01/01/1995 05:00:00;6.4;4
01/01/1995 06:00:00;5.15;4
01/01/1995 07:00:00;3.75;4
01/01/1995 08:00:00;2.37;4
01/01/1995 09:00:00;1.31;4
01/01/1995 10:00:00;0.96;4
01/01/1995 11:00:00;1.57;4
01/01/1995 12:00:00;2.86;4
01/01/1995 13:00:00;4.34;4
01/01/1995 14:00:00;5.71;4
01/01/1995 15:00:00;6.76;4
01/01/1995 16:00:00;7.19;4
01/01/1995 17:00:00;6.63;4
01/01/1995 18:00:00;5.52;4
01/01/1995 19:00:00;4.22;4
01/01/1995 20:00:00;2.88;4
01/01/1995 21:00:00;1.67;4
01/01/1995 22:00:00;0.99;4
01/01/1995 23:00:00;1.22;4
02/01/1995 00:00:00;2.33;4
02/01/1995 01:00:00;3.85;4
02/01/1995 02:00:00;5.4;4
02/01/1995 03:00:00;6.63;4
02/01/1995 04:00:00;7.27;4
02/01/1995 05:00:00;7.15;4
02/01/1995 06:00:00;6.15;4
02/01/1995 07:00:00;4.73;4
02/01/1995 08:00:00;3.24;4
02/01/1995 09:00:00;1.9;4
02/01/1995 10:00:00;0.9;4
02/01/1995 11:00:00;0.68;4
02/01/1995 12:00:00;1.42;4
02/01/1995 13:00:00;2.85;4
02/01/1995 14:00:00;4.51;4
02/01/1995 15:00:00;5.91;4
02/01/1995 16:00:00;6.82;4
02/01/1995 17:00:00;7.05;4
02/01/1995 18:00:00;6.41;4
02/01/1995 19:00:00;5.22;4
02/01/1995 20:00:00;3.84;4
02/01/1995 21:00:00;2.46;4
02/01/1995 22:00:00;1.34;4
02/01/1995 23:00:00;0.82;4
03/01/1995 00:00:00;1.25;4
03/01/1995 01:00:00;2.5;4
03/01/1995 02:00:00;4.14;4
03/01/1995 03:00:00;5.73;4
03/01/1995 04:00:00;6.89;4
03/01/1995 05:00:00;7.43;4
03/01/1995 06:00:00;7.08;4
03/01/1995 07:00:00;5.98;4
03/01/1995 08:00:00;4.54;4
03/01/1995 09:00:00;3.04;4
03/01/1995 10:00:00;1.76;4
03/01/1995 11:00:00;0.9;4
03/01/1995 12:00:00;0.9;4
03/01/1995 13:00:00;1.83;4
03/01/1995 14:00:00;3.31;4
03/01/1995 15:00:00;4.93;4
03/01/1995 16:00:00;6.26;4
03/01/1995 17:00:00;7.04;4
03/01/1995 18:00:00;7.08;4
03/01/1995 19:00:00;6.29;4
03/01/1995 20:00:00;5.01;4
03/01/1995 21:00:00;3.59;4
03/01/1995 22:00:00;2.37;4
03/01/1995 23:00:00;1.44;4
04/01/1995 00:00:00;1.14;4
04/01/1995 01:00:00;1.74;4
04/01/1995 02:00:00;3.12;4
04/01/1995 03:00:00;4.79;4
04/01/1995 04:00:00;6.25;4
04/01/1995 05:00:00;7.2;4
04/01/1995 06:00:00;7.46;4
04/01/1995 07:00:00;6.95;4
04/01/1995 08:00:00;5.77;4
04/01/1995 09:00:00;4.29;4
04/01/1995 10:00:00;2.89;4
04/01/1995 11:00:00;1.74;4
04/01/1995 12:00:00;1.03;4
04/01/1995 13:00:00;1.22;4
04/01/1995 14:00:00;2.32;4
04/01/1995 15:00:00;3.87;4
04/01/1995 16:00:00;5.37;4
04/01/1995 17:00:00;6.49;4
04/01/1995 18:00:00;7.01;4
04/01/1995 19:00:00;6.77;4
04/01/1995 20:00:00;5.85;4
04/01/1995 21:00:00;4.62;4
04/01/1995 22:00:00;3.33;4
04/01/1995 23:00:00;2.22;4
05/01/1995 00:00:00;1.44;4
05/01/1995 01:00:00;1.34;4
05/01/1995 02:00:00;2.18;4
05/01/1995 03:00:00;3.57;4
05/01/1995 04:00:00;5.09;4
05/01/1995 05:00:00;6.33;4
05/01/1995 06:00:00;7.04;4
05/01/1995 07:00:00;7.14;4
05/01/1995 08:00:00;6.45;4
05/01/1995 09:00:00;5.22;4
05/01/1995 10:00:00;3.88;4
05/01/1995 11:00:00;2.68;4
05/01/1995 12:00:00;1.69;4
05/01/1995 13:00:00;1.26;4
05/01/1995 14:00:00;1.75;4
05/01/1995 15:00:00;2.88;4
05/01/1995 16:00:00;4.29;4
05/01/1995 17:00:00;5.59;4
05/01/1995 18:00:00;6.43;4
05/01/1995 19:00:00;6.7;4
05/01/1995 20:00:00;6.24;4
05/01/1995 21:00:00;5.34;4
05/01/1995 22:00:00;4.2;4
05/01/1995 23:00:00;3.03;4
06/01/1995 00:00:00;2.12;4
06/01/1995 01:00:00;1.53;4
06/01/1995 02:00:00;1.68;4
