Date,Valeur,Source
30/06/2022 07:20:00,4.6,3
30/06/2022 07:30:00,4.426,3
30/06/2022 07:40:00,4.271,3
30/06/2022 07:50:00,4.095,3
30/06/2022 08:00:00,3.929,3
30/06/2022 08:10:00,3.758,3
30/06/2022 08:20:00,3.598,3
30/06/2022 08:30:00,3.458,3
30/06/2022 08:40:00,3.308,3
30/06/2022 08:50:00,3.165,3
30/06/2022 09:00:00,3.021,3
30/06/2022 09:10:00,2.888,3
30/06/2022 09:20:00,2.761,3
30/06/2022 09:30:00,2.638,3
30/06/2022 09:40:00,2.527,3
30/06/2022 09:50:00,2.421,3
30/06/2022 10:00:00,2.32,3
30/06/2022 10:10:00,2.245,3
30/06/2022 10:20:00,2.162,3
30/06/2022 10:30:00,2.116,3
30/06/2022 10:40:00,2.062,3
30/06/2022 10:50:00,2.042,3
30/06/2022 11:00:00,2.037,3
30/06/2022 11:10:00,2.066,3
30/06/2022 11:20:00,2.097,3
30/06/2022 11:30:00,2.159,3
30/06/2022 11:40:00,2.239,3
30/06/2022 11:50:00,2.335,3
30/06/2022 12:00:00,2.458,3
30/06/2022 12:10:00,2.585,3
30/06/2022 12:20:00,2.725,3
30/06/2022 12:30:00,2.875,3
30/06/2022 12:40:00,3.038,3
30/06/2022 12:50:00,3.205,3
30/06/2022 13:00:00,3.388,3
30/06/2022 13:10:00,3.561,3
30/06/2022 13:20:00,3.753,3
30/06/2022 13:30:00,3.934,3
30/06/2022 13:40:00,4.139,3
30/06/2022 13:50:00,4.317,3
30/06/2022 14:00:00,4.516,3
30/06/2022 14:10:00,4.704,3
30/06/2022 14:20:00,4.889,3
30/06/2022 14:30:00,5.063,3
30/06/2022 14:40:00,5.244,3
30/06/2022 14:50:00,5.406,3
30/06/2022 15:00:00,5.569,3
30/06/2022 15:10:00,5.723,3
30/06/2022 15:20:00,5.851,3
30/06/2022 15:30:00,5.986,3
30/06/2022 15:40:00,6.089,3
30/06/2022 15:50:00,6.203,3
30/06/2022 16:00:00,6.27,3
30/06/2022 16:10:00,6.372,3
30/06/2022 16:20:00,6.417,3
30/06/2022 16:30:00,6.483,3
30/06/2022 16:40:00,6.489,3
30/06/2022 16:50:00,6.518,3
30/06/2022 17:00:00,6.496,3
30/06/2022 17:10:00,6.487,3
30/06/2022 17:20:00,6.443,3
30/06/2022 17:30:00,6.396,3
30/06/2022 17:40:00,6.322,3
30/06/2022 17:50:00,6.238,3
30/06/2022 18:00:00,6.125,3
30/06/2022 18:10:00,6.001,3
30/06/2022 18:20:00,5.87,3
30/06/2022 18:30:00,5.74,3
30/06/2022 18:40:00,5.595,3
30/06/2022 18:50:00,5.443,3
30/06/2022 19:00:00,5.271,3
30/06/2022 19:10:00,5.116,3
30/06/2022 19:20:00,4.934,3
30/06/2022 19:30:00,4.781,3
30/06/2022 19:40:00,4.596,3
30/06/2022 19:50:00,4.429,3
30/06/2022 20:00:00,4.239,3
30/06/2022 20:10:00,4.068,3
30/06/2022 20:20:00,3.888,3
30/06/2022 20:30:00,3.713,3
30/06/2022 20:40:00,3.549,3
30/06/2022 20:50:00,3.384,3
30/06/2022 21:00:00,3.24,3
30/06/2022 21:10:00,3.073,3
30/06/2022 21:20:00,2.942,3
30/06/2022 21:30:00,2.785,3
30/06/2022 21:40:00,2.664,3
30/06/2022 21:50:00,2.539,3
30/06/2022 22:00:00,2.427,3
30/06/2022 22:10:00,2.322,3
30/06/2022 22:20:00,2.216,3
30/06/2022 22:30:00,2.133,3
30/06/2022 22:40:00,2.067,3
30/06/2022 22:50:00,1.999,3
30/06/2022 23:00:00,1.961,3
30/06/2022 23:10:00,1.931,3
30/06/2022 23:20:00,1.915,3
30/06/2022 23:30:00,1.918,3
30/06/2022 23:40:00,1.942,3
30/06/2022 23:50:00,1.998,3
